nome_estado,codigo_uf,regiao_br
Acre,12,Norte
Alagoas,27,Nordeste
Amapá,16,Norte
Amazonas,13,Norte
Bahia,29,Nordeste
Ceará,23,Nordeste
Distrito Federal,53,Centro-Oeste
Espírito Santo,32,Sudeste
Goiás,52,Centro-Oeste
Maranhão,21,Nordeste
Mato Grosso,51,Centro-Oeste
Mato Grosso do Sul,50,Centro-Oeste
Minas Gerais,31,Sudeste
Pará,15,Norte
Paraíba,25,Nordeste
Paraná,41,Sul
Pernambuco,26,Nordeste
Piauí,22,Nordeste
Rio Grande do Norte,24,Nordeste
Rio Grande do Sul,43,Sul
Rio de Janeiro,33,Sudeste
Rondônia,11,Norte
Roraima,14,Norte
Santa Catarina,42,Sul
São Paulo,35,Sudeste
Sergipe,28,Nordeste
Tocantins,17,Norte
